source,target,context,comment
Tear,Tear,Tên riêng,
Septian Church,Giáo Hội Thất Diệu,Tên riêng,
Eight Leaves One Blade,Bát Diệp Nhất Đao Phái,Tên riêng,
EP,EP,Biệt ngữ,
Orbal Energy,Dẫn Lực,Biệt ngữ,Ghi hoa hoặc ghi thường tùy theo text đang dịch thuộc cột ENG.
K.O,Gục Ngã,Trạng thái,
Zeram,Zeram,,
Restore all,Hồi Phục Hoàn Toàn,Trạng thái,
Curse,Giải trừ,Trạng thái,
Seal,Phong Kỹ,Trạng thái,
Mute,Phong Pháp,Trạng thái,
Blind,Mù Lòa,Trạng thái,
Nightmare,Ác Mộng,Trạng thái,
Burn,Viêm Thiêu Đốt,Trạng thái,
Freeze,Đóng Băng,Trạng thái,
Petrify,Hóa Đá,Trạng thái,
Faint,Ngất,Trạng thái,
Confuse,Loạn Trí,Trạng thái,
Stat Down,Suy Giảm,Trạng thái,
Abnormal Status,Trạng Thái Dị Thường,Trạng thái,Cũng chưa chắc là bất lợi
Feeling,Thoái Lui,Hành động,
Analysis,Phân Tích,Hành động,
Enemy,Địch,Biệt ngữ,
Sleep,Ngủ Mê,Trạng thái,
Old Schoolhouse,Học Xá Cũ,Biệt ngữ,
Nord Highlands,Cao Nguyên Nord,Tên riêng,
Lieutenant General,Trung Tướng,Biệt ngữ,
Military Academy,Học Viện Sĩ Quan,,
Recipe Book,Sổ Tay Nấu Ăn,,
NOTE Menu,Note MENU/Giao Diện Sổ Tay,,Sửa lại sau khi thống nhất được cách dịch
Quartz,Quartz,,
Governor,Thống Đốc,,
Heimdallr,Đế Đô,,
Port Chief,Quản Đốc,,
Abend Time,Abend Time,,Sửa lại sau khi thống nhất được cách dịch
Orb,Bảo Châu,,
Lohengrin Castle.,Lâu Đài Lohengrin,,
Mine Shaft,Hầm Mỏ,,
Iron Mine,Mỏ Sắt,,
Roer City,Thành Phố Roer,,
