source,target,context,comment
Yikes! A monster?!,,[Elliot] #0,あ、あれって魔獣…！？
Huh... Never seen this kind before.,,[Jusis] #1,ふむ、見たことのない種類だが。
"It looks like a Flying Feline.
 Careful, everyone.",,[Rean] #2,"トビネコだな…
 気を引き締めていこう。"
"Please tell me there aren't more of
 those things lurking around here...",,[Elliot] #3,"うう…今みたいなのが
 何匹もうろついてるのかな…"
"I hate to tell you, but I can sense
 more further in.",,[Jusis] #4,"気配を感じる…
 間違いなさそうだ。"
"Anyway, let's just stay alert.",,[Rean] #5,とにかく、焦らず先に進もう。
"I'm starting to lose my sense
 of direction down here...",,[Elliot] #6,"本当に地下道って感じだよね…
 方向感覚がなくなってきたかも…"
"Yeah. Gotta make sure we're
 not going in circles.",,[Rean] #7,ああ、気をつけて進まないとな。
"What's a place like this even
 doing on the school grounds?",,[Machias] #8,"しかし、どうして学院の敷地に
 こんな場所があるんだ？"
"Yeah... Who puts a giant trap
 door in a campus building?",,[Elliot] #9,"そうだよねぇ…
 落とし穴まで用意してるし。"
"Looks like the path splits. Which
 way do you think we should go?",,[Rean] #10,"分かれ道か…
 どちらに行ったものかな。"
"I feel a little wind blowing from the
 east. I'd bet the exit's that way.",,[Jusis] #11,風を感じる…出口は東側のようだ。
...,,[Machias] #12,…………………………
"(He seems kinda...imposing. I don't
 know how to break the ice...)",,[Elliot] #13,（う、うーん…話しかけづらいかも…）
... [[Gaius] #14],,[Gaius] #14,…………………………
"(He seems kinda...imposing. I don't
 know how to break the ice...) [[Elliot] #15]",,[Elliot] #15,（う、うーん…話しかけづらいかも…）
"Bah... I feel like we've just
 been going in circles.",,[Machias] #16,"くっ…さっきから同じ場所を
 歩き続けている気がするぞ…"
"You might be right. Maybe we should
 check where we are on the map.",,[Rean] #17,"ああ…いったん地図で
 位置を確認した方がよさそうだ。"
"I feel like we've simply
 been running in circles.",,[Gaius] #18,"チッ…さっきから同じ場所を
 歩き続けているようだな。"
"You might be right. Maybe we should
 check where we are on the map. [[Rean] #19]",,[Rean] #19,"ああ…いったん地図で
 位置を確認した方がよさそうだ。"
"Wow, check out all these stalls!",,[Elliot] #20,"あはは、色んな屋台があって
 目移りしちゃうね。"
"Oooh. The lace at that stall
 has a really pretty design.",,[Alisa] #21,"うーん、今のレース、
 すごく良い柄だったわね。"
"Mishy...? I admit, it has a certain charm.",,[Laura] #22,"みっしぃ…？
 妙に心惹かれる造形だな。"
"All these windmills sure make
 the town feel pretty laid back.",,[Alisa] #23,"風車がたくさん…
 ふふっ、のどかでいいわね。"
"True. The scenery is surprisingly
 relaxing.",,[Laura] #24,うん、癒される光景だな。
"This would be a really tranquil
 area...if not for the monsters.",,[Elliot] #25,"こっちものどかだね…
 やっぱり魔獣はいるみたいだけど。"
Yeah. Let's be careful.,,[Rean] #26,まあ、気をつけて行こう。
Is this a farmhouse?,,[Laura] #27,ここは…農家のようだな。
Huh. I wonder where we are...,,[Elliot] #28,あれ、なんだろう、ここ…
"Hmm... It says,
 'Lunaria Nature Park.'",,[Laura] #29,"ふむ、『ルナリア自然公園』
 と書かれているようだが。"
Wow. This farmhouse is huge.,,[Alisa] #30,へえ…大きな農家ね。
Haha. Look at the cows! ♪,,[Elliot] #31,あはは、牛がいるよ♪
"The Transcontinental Railroad, huh?
 Guess that'll take you out of the country.",,[Rean] #32,"大陸横断鉄道…
 外国に通じているんだったな。"
"Yeah. If you keep on heading east, you'd
 eventually reach Garrelia Fortress.",,[Alisa] #33,"ええ…このずっと先に
 東の国境、ガレリア要塞があるわ。"
"We should take a right here
 to reach the nature park.",,[Laura] #34,自然公園は、ここを右手だな。
Right. Let's go!,,[Alisa] #35,ええ、行ってみましょう…！
"There's tons of little stone
 monuments in here...",,[Elliot] #36,"なんか、小さな石碑が
 あちこちにあるけど…"
"Yeah. What do you think
 they're supposed to be?",,[Alisa] #37,ええ…何なのかしら？
"I imagine they were made by
 the animists in this province.",,[Laura] #38,"多分、この地方にあった
 精霊信仰の名残だろう。"
This way's a dead end.,,[Laura] #39,こちらは行き止まりか。
"Yeah... This park covers a lot
 more area than I was expecting.",,[Rean] #40,"ああ…思った以上に
 奥深いみたいだな。"
"Oh, there's a stream here.
 This seems like a nice spot.",,[Alisa] #41,小川か…少しほっとするわね。
I can't sense anyone in this area.,,[Laura] #42,"この辺りに
 人の気配はないようだ。"
Just how deep does this forest go?,,[Elliot] #43,"こ、この森、
 どこまで続いてるのかな…"
"We must be pretty far in now.
 I'd imagine we're almost there.",,[Laura] #44,"かなり進んだはずだ。
 あと一息だろう。"
"Oh, hey! There's an orbment
 charging station!",,[Alisa] #45,"あっ…！
 回復装置があるわ…！"
"We must be in the most remote
 reaches of the park.",,[Rean] #46,ああ…どうやら終点みたいだ。
Who's this a statue of?,,[Fie] #47,この像、ナニ？
"It seems to be a statue
 of St. Veronica.",,[Emma] #48,"聖女ヴェロニカの像、
 みたいですね。"
Oh? You know of her?,,[Gaius] #49,ほう、詳しいな。
"*sigh* I love the look of this
 city. It's so beautiful...",,[Emma] #50,"はぁ…
 本当に綺麗な街並みですね。"
"Maybe so, but it's got nothing on
 Heimdallr in terms of sheer scale.",,[Machias] #51,"フン…規模は帝都の方が
 はるかに上だがな。"
"Is this the way to
 the city's airport?",,[Rean] #52,"この先は…
 飛行船の発着場みたいだな。"
"It is, though I doubt we'll have
 any reason to go there.",,[Gaius] #53,ああ、今回は用はあるまい。
This seems to be the city's noble quarter.,,[Emma] #54,"この辺りは…貴族の方々が
 住んでいるみたいですね。"
"No wonder most of these houses
 look so overblown and excessive.",,[Machias] #55,"フン、どうりでお高く止まった
 屋敷が多いわけだ。"
... [[Gaius] #56],,[Gaius] #56,…………………………
"Wait, this leads to...",,[Gaius] #57,おい、そちらは…
Huh? What's wrong?,,[Rean] #58,？ どうしたんだ？
...Never mind.,,[Gaius] #59,…いや、何でもない。
"This street seems kinda
 different from the others.",,[Fie] #60,ここ、ちょっと雰囲気違うね。
"This is Artisans' Street, where craftsmen
 and merchants ply their trades.",,[Gaius] #61,"職人通り…
 様々な店が軒を連ねているな。"
"Oh, a lake.",,[Fie] #62,あ、池がある。
Heehee. It looks so pretty.,,[Emma] #63,ふふっ、綺麗ですね。
"A bridge, huh?",,[Machias] #64,この橋は…
"Saar Bridge. Beyond here is out
 of bounds for our field study.",,[Gaius] #65,"ザール橋…
 実習範囲はここまでだ。"
"That bridge above us looks like it
 dates back to the Middle Ages.",,[Rean] #66,"上にあるのは…
 中世の橋梁みたいだな。"
"It is. It's been there for
 several hundred years.",,[Gaius] #67,ああ、数百年前のものだ。
"This looks like quite an old road,
 though it does seem well reinforced.",,[Emma] #68,"古い道みたいですけど…
 かなり補強がされていますね。"
"Yup... Looks like a lot of
 armored vehicles come this way.",,[Fie] #69,ん…車両も結構通ってるみたい。
... [[Gaius] #70],,[Gaius] #70,…………………………
I didn't notice there was a path here...,,[Machias] #71,こんな所に道が…
"The monster we're looking
 for should be just ahead.",,[Rean] #72,"手配された魔獣は
 この先みたいだな。"
We're finally back.,,[Fie] #73,やっと戻って来た。
Whew... My feet are killing me.,,[Emma] #74,"ふぅ…
 さすがに歩き疲れましたね。"
"Just the kind of thing you'd
 expect in an old ruin like this.",,[Fie] #75,"いかにも中世の遺跡っぽい
 ギミックだね。"
"Do you think it's powered by
 the water flowing through here?",,[Emma] #76,"ええ、水の力を
 使ってるんでしょうか。"
"The entrance to the guardhouse is
 to the west. We should hurry.",,[Gaius] #77,"領邦軍の詰所は西だ。
 …とにかく急ぐぞ。"
*pant* Why is this ladder so long?,,[Emma] #78,"ふぅふぅ…
 ずいぶん長い梯子ですね。"
"Is it harder to climb ladders
 when you've got a big chest?",,[Fie] #79,"やっぱり胸が大きいと
 登りにくい？"
F-Fie...!,,[Emma] #80,フィ、フィーちゃん…///
